Ensemble,Network,Strategy,FinalAdoption,CascadeProb,Time50,Efficiency,Seeds
0,ER,Random,0.9900000000000001,1.0,9.0,0.198,"[57, 12, 140, 125, 114]"
0,ER,Degree,0.9900000000000001,1.0,5.0,0.198,"[232, 244, 85, 76, 14]"
0,ER,K-core,0.9900000000000001,1.0,7.0,0.198,"[1, 2, 3, 4, 5]"
0,ER,Betweenness,0.9900000000000001,1.0,5.0,0.198,"[232, 244, 85, 47, 76]"
0,ER,Greedy,1.0,1.0,19.0,0.2,"[0, 80, 111, 292, 87]"
0,WS,Random,1.0,1.0,10.0,0.2,"[71, 52, 279, 44, 216]"
0,WS,Degree,0.8699999999999997,1.0,13.0,0.17399999999999993,"[40, 48, 59, 65, 91]"
0,WS,K-core,0.8699999999999997,1.0,13.0,0.17399999999999993,"[0, 1, 2, 3, 4]"
0,WS,Betweenness,0.8699999999999997,1.0,7.0,0.17399999999999993,"[40, 195, 106, 224, 243]"
0,WS,Greedy,1.0,1.0,10.0,0.2,"[281, 282, 283, 244, 245]"
0,BA,Random,1.0,1.0,12.0,0.2,"[16, 15, 47, 111, 119]"
0,BA,Degree,1.0,1.0,3.0,0.2,"[9, 6, 0, 3, 2]"
0,BA,K-core,1.0,1.0,4.0,0.2,"[0, 1, 2, 3, 4]"
0,BA,Betweenness,1.0,1.0,3.0,0.2,"[9, 6, 0, 3, 14]"
0,BA,Greedy,1.0,1.0,3.0,0.2,"[0, 6, 7, 9, 10]"
1,ER,Random,1.0,1.0,9.0,0.2,"[258, 13, 287, 101, 279]"
1,ER,Degree,0.9966666666666665,1.0,5.0,0.1993333333333333,"[100, 30, 28, 201, 6]"
1,ER,K-core,0.9966666666666665,1.0,10.0,0.1993333333333333,"[1, 2, 3, 4, 5]"
1,ER,Betweenness,0.9966666666666665,1.0,5.0,0.1993333333333333,"[201, 28, 30, 100, 6]"
1,ER,Greedy,1.0,1.0,7.0,0.2,"[1, 287, 6, 8, 12]"
1,WS,Random,1.0,1.0,6.0,0.2,"[214, 112, 229, 142, 3]"
1,WS,Degree,1.0,1.0,6.0,0.2,"[149, 10, 42, 49, 95]"
1,WS,K-core,1.0,1.0,11.0,0.2,"[0, 1, 2, 3, 4]"
1,WS,Betweenness,1.0,1.0,6.0,0.2,"[149, 49, 228, 153, 131]"
1,WS,Greedy,1.0,1.0,11.0,0.2,"[0, 1, 2, 3, 4]"
1,BA,Random,1.0,1.0,9.0,0.2,"[81, 216, 174, 142, 79]"
1,BA,Degree,1.0,1.0,3.0,0.2,"[9, 4, 0, 6, 11]"
1,BA,K-core,1.0,1.0,4.0,0.2,"[0, 1, 3, 4, 5]"
1,BA,Betweenness,1.0,1.0,3.0,0.2,"[9, 4, 0, 11, 6]"
1,BA,Greedy,1.0,1.0,3.0,0.2,"[0, 3, 4, 5, 6]"
2,ER,Random,1.0,1.0,10.0,0.2,"[110, 172, 52, 47, 194]"
2,ER,Degree,1.0,1.0,6.0,0.2,"[264, 250, 253, 92, 243]"
2,ER,K-core,1.0,1.0,8.0,0.2,"[0, 1, 2, 3, 5]"
2,ER,Betweenness,1.0,1.0,6.0,0.2,"[264, 243, 297, 253, 92]"
2,ER,Greedy,1.0,1.0,9.0,0.2,"[0, 1, 3, 10, 13]"
2,WS,Random,0.9800000000000002,1.0,9.0,0.19600000000000004,"[49, 183, 176, 135, 22]"
2,WS,Degree,0.9800000000000002,1.0,7.0,0.19600000000000004,"[144, 204, 207, 256, 2]"
2,WS,K-core,0.9800000000000002,1.0,11.0,0.19600000000000004,"[0, 1, 2, 3, 4]"
2,WS,Betweenness,0.9800000000000002,1.0,7.0,0.19600000000000004,"[256, 293, 4, 271, 124]"
2,WS,Greedy,1.0,1.0,9.0,0.2,"[75, 76, 77, 0, 1]"
2,BA,Random,1.0,1.0,9.0,0.2,"[235, 274, 63, 193, 40]"
2,BA,Degree,1.0,1.0,2.0,0.2,"[9, 5, 2, 0, 18]"
2,BA,K-core,1.0,1.0,4.0,0.2,"[0, 1, 2, 3, 4]"
2,BA,Betweenness,1.0,1.0,2.0,0.2,"[5, 9, 2, 0, 18]"
2,BA,Greedy,1.0,1.0,3.0,0.2,"[0, 1, 2, 4, 5]"
3,ER,Random,1.0,1.0,7.0,0.2,"[282, 150, 185, 295, 98]"
3,ER,Degree,1.0,1.0,5.0,0.2,"[183, 10, 78, 199, 117]"
3,ER,K-core,1.0,1.0,8.0,0.2,"[0, 1, 2, 3, 4]"
3,ER,Betweenness,1.0,1.0,5.0,0.2,"[183, 199, 78, 10, 235]"
3,ER,Greedy,1.0,1.0,7.0,0.2,"[1, 3, 5, 10, 20]"
3,WS,Random,1.0,1.0,12.0,0.2,"[35, 23, 116, 148, 40]"
3,WS,Degree,0.9399999999999997,1.0,9.0,0.18799999999999994,"[32, 54, 87, 110, 135]"
3,WS,K-core,0.07333333333333333,0.0,,0.014666666666666666,"[0, 1, 2, 3, 4]"
3,WS,Betweenness,0.9399999999999997,1.0,10.0,0.18799999999999994,"[234, 87, 195, 32, 105]"
3,WS,Greedy,1.0,1.0,17.0,0.2,"[23, 24, 26, 27, 28]"
3,BA,Random,1.0,1.0,7.0,0.2,"[119, 51, 194, 142, 232]"
3,BA,Degree,1.0,1.0,3.0,0.2,"[1, 0, 4, 6, 2]"
3,BA,K-core,1.0,1.0,3.0,0.2,"[0, 1, 2, 4, 5]"
3,BA,Betweenness,1.0,1.0,3.0,0.2,"[1, 0, 4, 6, 9]"
3,BA,Greedy,1.0,1.0,3.0,0.2,"[0, 1, 2, 4, 5]"
4,ER,Random,1.0,1.0,8.0,0.2,"[186, 83, 189, 181, 107]"
4,ER,Degree,0.9966666666666665,1.0,5.0,0.1993333333333333,"[283, 35, 13, 74, 136]"
4,ER,K-core,0.9966666666666665,1.0,7.0,0.1993333333333333,"[0, 2, 5, 6, 7]"
4,ER,Betweenness,0.9966666666666665,1.0,5.0,0.1993333333333333,"[35, 283, 13, 74, 163]"
4,ER,Greedy,1.0,1.0,8.0,0.2,"[7, 186, 8, 11, 13]"
4,WS,Random,1.0,1.0,6.0,0.2,"[136, 36, 87, 273, 125]"
4,WS,Degree,1.0,1.0,6.0,0.2,"[62, 64, 204, 246, 249]"
4,WS,K-core,1.0,1.0,8.0,0.2,"[0, 1, 2, 3, 4]"
4,WS,Betweenness,1.0,1.0,6.0,0.2,"[62, 25, 64, 246, 23]"
4,WS,Greedy,1.0,1.0,8.0,0.2,"[1, 2, 3, 4, 5]"
4,BA,Random,0.030000000000000013,0.0,,0.006000000000000003,"[83, 236, 194, 138, 285]"
4,BA,Degree,1.0,1.0,3.0,0.2,"[2, 7, 0, 6, 4]"
4,BA,K-core,1.0,1.0,3.0,0.2,"[0, 1, 2, 3, 4]"
4,BA,Betweenness,1.0,1.0,3.0,0.2,"[2, 7, 0, 9, 3]"
4,BA,Greedy,1.0,1.0,3.0,0.2,"[0, 2, 3, 4, 5]"
5,ER,Random,0.9933333333333336,1.0,6.0,0.1986666666666667,"[112, 166, 28, 117, 16]"
5,ER,Degree,0.9933333333333336,1.0,5.0,0.1986666666666667,"[43, 60, 12, 66, 257]"
5,ER,K-core,0.9933333333333336,1.0,6.0,0.1986666666666667,"[0, 1, 2, 3, 4]"
5,ER,Betweenness,0.9933333333333336,1.0,5.0,0.1986666666666667,"[60, 43, 12, 87, 257]"
5,ER,Greedy,1.0,1.0,7.0,0.2,"[0, 78, 94, 100, 101]"
5,WS,Random,1.0,1.0,12.0,0.2,"[161, 205, 137, 33, 108]"
5,WS,Degree,1.0,1.0,8.0,0.2,"[52, 65, 121, 162, 178]"
5,WS,K-core,1.0,1.0,18.0,0.2,"[0, 1, 2, 3, 4]"
5,WS,Betweenness,1.0,1.0,10.0,0.2,"[65, 255, 84, 178, 4]"
5,WS,Greedy,1.0,1.0,16.0,0.2,"[0, 2, 6, 7, 8]"
5,BA,Random,0.07333333333333333,0.0,,0.014666666666666666,"[290, 161, 108, 255, 202]"
5,BA,Degree,1.0,1.0,3.0,0.2,"[0, 4, 5, 3, 6]"
5,BA,K-core,1.0,1.0,3.0,0.2,"[0, 1, 2, 3, 4]"
5,BA,Betweenness,1.0,1.0,3.0,0.2,"[0, 4, 5, 3, 6]"
5,BA,Greedy,1.0,1.0,3.0,0.2,"[0, 3, 4, 5, 6]"
6,ER,Random,0.07333333333333333,0.0,,0.014666666666666666,"[234, 73, 135, 71, 126]"
6,ER,Degree,1.0,1.0,6.0,0.2,"[219, 158, 221, 254, 74]"
6,ER,K-core,1.0,1.0,9.0,0.2,"[0, 2, 3, 4, 5]"
6,ER,Betweenness,1.0,1.0,7.0,0.2,"[219, 158, 221, 156, 254]"
6,ER,Greedy,1.0,1.0,9.0,0.2,"[0, 13, 21, 22, 24]"
6,WS,Random,0.9600000000000004,1.0,9.0,0.1920000000000001,"[287, 275, 134, 299, 219]"
6,WS,Degree,0.9600000000000004,1.0,10.0,0.1920000000000001,"[132, 22, 122, 125, 189]"
6,WS,K-core,0.9600000000000004,1.0,12.0,0.1920000000000001,"[0, 1, 2, 3, 4]"
6,WS,Betweenness,0.9600000000000004,1.0,11.0,0.1920000000000001,"[132, 125, 129, 193, 257]"
6,WS,Greedy,1.0,1.0,16.0,0.2,"[243, 247, 248, 249, 251]"
6,BA,Random,0.09333333333333332,0.0,,0.018666666666666665,"[298, 204, 185, 112, 70]"
6,BA,Degree,1.0,1.0,3.0,0.2,"[5, 8, 10, 4, 0]"
6,BA,K-core,1.0,1.0,4.0,0.2,"[0, 1, 2, 3, 4]"
6,BA,Betweenness,1.0,1.0,3.0,0.2,"[5, 8, 10, 4, 0]"
6,BA,Greedy,1.0,1.0,3.0,0.2,"[0, 3, 4, 5, 6]"
7,ER,Random,1.0,1.0,12.0,0.2,"[260, 252, 46, 24, 56]"
7,ER,Degree,1.0,1.0,7.0,0.2,"[269, 254, 96, 137, 219]"
7,ER,K-core,0.030000000000000013,0.0,,0.006000000000000003,"[0, 1, 3, 6, 7]"
7,ER,Betweenness,1.0,1.0,5.0,0.2,"[269, 254, 155, 219, 170]"
7,ER,Greedy,1.0,1.0,6.0,0.2,"[8, 12, 24, 44, 66]"
7,WS,Random,0.9800000000000002,1.0,9.0,0.19600000000000004,"[78, 81, 216, 32, 197]"
7,WS,Degree,0.9800000000000002,1.0,6.0,0.19600000000000004,"[115, 40, 53, 89, 120]"
7,WS,K-core,0.9800000000000002,1.0,9.0,0.19600000000000004,"[0, 1, 2, 3, 4]"
7,WS,Betweenness,0.9800000000000002,1.0,7.0,0.19600000000000004,"[115, 46, 53, 85, 16]"
7,WS,Greedy,1.0,1.0,8.0,0.2,"[108, 0, 2, 3, 4]"
7,BA,Random,1.0,1.0,10.0,0.2,"[195, 239, 270, 128, 283]"
7,BA,Degree,1.0,1.0,3.0,0.2,"[4, 3, 10, 5, 14]"
7,BA,K-core,1.0,1.0,3.0,0.2,"[0, 1, 2, 3, 4]"
